Date,Applications,Visitors
17/04/2016,0,0
18/04/2016,0,2
19/04/2016,0,4
20/04/2016,3,10
21/04/2016,1,15
22/04/2016,0,2
23/04/2016,0,0
24/04/2016,0,0
25/04/2016,0,4
26/04/2016,0,1
27/04/2016,0,2
28/04/2016,0,1
29/04/2016,0,2
30/04/2016,0,0
01/05/2016,0,0
02/05/2016,0,4
03/05/2016,0,2
04/05/2016,0,1
05/05/2016,0,2
06/05/2016,0,2
07/05/2016,0,1
08/05/2016,0,0
09/05/2016,0,1
10/05/2016,0,2
11/05/2016,0,3
12/05/2016,0,4
13/05/2016,0,1
14/05/2016,0,0
15/05/2016,0,0
16/05/2016,0,4
17/05/2016,0,4
18/05/2016,0,4
19/05/2016,0,1
20/05/2016,0,8
21/05/2016,0,2
22/05/2016,0,1
23/05/2016,0,64
24/05/2016,0,2
25/05/2016,0,8
26/05/2016,1,17
27/05/2016,0,2
28/05/2016,0,0
29/05/2016,0,0
30/05/2016,2,13
31/05/2016,0,2
01/06/2016,0,0
02/06/2016,0,1
03/06/2016,0,10
04/06/2016,0,0
05/06/2016,0,0
06/06/2016,0,11
07/06/2016,1,11
08/06/2016,0,4
09/06/2016,0,25
10/06/2016,0,3
11/06/2016,0,0
12/06/2016,0,1
13/06/2016,0,7
14/06/2016,0,1
15/06/2016,0,8
16/06/2016,0,1
17/06/2016,0,2
18/06/2016,0,0
19/06/2016,1,1
20/06/2016,0,7
21/06/2016,0,3
22/06/2016,0,7
23/06/2016,0,1
24/06/2016,0,0
25/06/2016,0,0
26/06/2016,0,0
27/06/2016,0,0
28/06/2016,0,0
29/06/2016,0,3
30/06/2016,0,0
01/07/2016,0,1
02/07/2016,0,0
03/07/2016,0,0
04/07/2016,0,3
05/07/2016,0,8
06/07/2016,0,3
07/07/2016,0,1
08/07/2016,0,3
09/07/2016,0,0
10/07/2016,0,0
11/07/2016,1,11
12/07/2016,0,15
13/07/2016,0,0
14/07/2016,0,2
15/07/2016,0,1
16/07/2016,0,0
17/07/2016,0,0
18/07/2016,0,11
19/07/2016,0,20
20/07/2016,0,9
21/07/2016,0,18
22/07/2016,0,2
23/07/2016,0,0
24/07/2016,0,0
25/07/2016,0,3
26/07/2016,0,2
27/07/2016,0,1
28/07/2016,0,5
29/07/2016,0,0
30/07/2016,0,0
31/07/2016,0,0
01/08/2016,0,1
02/08/2016,0,0
03/08/2016,1,1
04/08/2016,0,1
