ids,labels,parents
id-mk,mk2,
id-Issue,Issue,
id-People,People,
id-Sector,Sector,
id-Size,Size,
id-Size-SME,SME,id-Size
id-SME-Early,Early Exporter,id-Size-SME
id-Early-EU,EU,id-SME-Early
id-Early-Americas,Americas,id-SME-Early
id-Early-Africa,Africa,id-SME-Early
id-Early-Asia,Asia,id-SME-Early
id-Early-Australasia,Australasia,id-SME-Early
id-people-experience,Experience,id-People
id-people-A11y,A11y,id-people
id-people-Ethnicity,Ethnicity,id-People
id-people-Under,Under Represented,id-People
id-Sector-Hospitality,Hospitality,id-Sector
id-Sector-Manufacturing,Manufacturing,id-Sector
