ids,﻿labels,parents
Hospitality,Sector,
aa,222,Sector
bb,333,Sector
cc,444,Sector
dd,555,Sector
ee,666,Sector
ff,777,Sector
gg,888,Sector
hh,999,Sector
hh,1000,Secto,
ii,1100,Sector
Pre-Start,Size,
Startup,Size,
SME,Size,
Maintain Jobs,Issue,
Create Jobs,Issue,
Reduce Carbon,Issue,
New Sectors,Issue,
Export ,Issue,
Improve productivity,Issue,
New services/products,Issue,
A11Y,People,
Ethnicity,People,
Experience,People,
Under Represented,People,
Prestart,Business Stage,
Startup,Business Stage,
Lifestyle,Business Stage,
Entrapeneural Growth,Business Stage,
Managed Growth,Business Stage,
Beginning to Export,Business Stage,
Exporter,Business Stage,
Adding Products or Services,Business Stage,
